incident_id,user_id,Incident_Description,Root_Cause,Resolution,Solution,Business_Impact,Subcategory_Id,created_at,updated_at,severity
87881247,3,"Performance degradation observed in Payment Gateway Error with memory leaks detected, requiring immediate attention.","User reported Payment Gateway Error issue causing client dissatisfaction, impacting user satisfaction and business operations.",Error reported in Payment Gateway Error: high latency. Impact on critical operations observed.,"Service disruption in Payment Gateway Error due to resource overload, leading to revenue loss.",Minimal impact caused by network misconfiguration in Payment Gateway Error.,201,2024-10-16 00:25:02,,Low
11863146,2,"User reported Order Processing Failure issue causing business disruption, impacting user satisfaction and business operations.","Service disruption in Order Processing Failure due to network misconfiguration, leading to client dissatisfaction.","Service disruption in Order Processing Failure due to unauthorized access, leading to revenue loss.","User reported Order Processing Failure issue causing client dissatisfaction, impacting user satisfaction and business operations.",Moderate disruption observed in Order Processing Failure due to network misconfiguration.,202,2024-10-09 19:50:44,2024-10-27 05:32:18,Medium
35471677,1,"User reported Cart Not Updating issue causing service inconsistency, impacting user satisfaction and business operations.","Performance degradation observed in Cart Not Updating with high CPU usage, requiring immediate attention.",Error reported in Cart Not Updating: data corruption. Impact on critical operations observed.,"Service disruption in Cart Not Updating due to service downtime, leading to revenue loss.",Critical issue in Cart Not Updating causing business disruption.,203,2024-10-09 01:43:29,2024-10-17 15:43:38,High
67401268,4,"Service disruption in Shipping Address Error due to network misconfiguration, leading to revenue loss.","User reported Shipping Address Error issue causing client dissatisfaction, impacting user satisfaction and business operations.","Performance degradation observed in Shipping Address Error with 99.9% failure rate, requiring immediate attention.","System encountered failed API calls in Shipping Address Error, resulting in business disruption.",Minimal impact caused by unauthorized access in Shipping Address Error.,204,2024-10-24 18:36:41,2024-10-29 04:52:31,Low
22151082,9,Error reported in Tax Calculation Issues: data corruption. Impact on critical operations observed.,"Performance degradation observed in Tax Calculation Issues with memory leaks detected, requiring immediate attention.","Operational downtime in Tax Calculation Issues traced to network misconfiguration, causing service inconsistency.",Error reported in Tax Calculation Issues: data corruption. Impact on end-user experience observed.,Minimal impact caused by service downtime in Tax Calculation Issues.,205,2024-10-23 12:09:13,2024-10-20 19:31:04,Low
18008839,5,"Performance degradation observed in Order Duplication with high CPU usage, requiring immediate attention.","Operational downtime in Order Duplication traced to unauthorized access, causing client dissatisfaction.","User reported Order Duplication issue causing client dissatisfaction, impacting user satisfaction and business operations.","System encountered frequent errors in Order Duplication, resulting in client dissatisfaction.",Moderate disruption observed in Order Duplication due to resource overload.,206,2024-10-28 12:43:21,2024-10-12 04:16:51,Medium
99663965,3,"System encountered failed API calls in Invalid Promo Code, resulting in business disruption.","User reported Invalid Promo Code issue causing business disruption, impacting user satisfaction and business operations.","User reported Invalid Promo Code issue causing business disruption, impacting user satisfaction and business operations.","User reported Invalid Promo Code issue causing client dissatisfaction, impacting user satisfaction and business operations.",Critical issue in Invalid Promo Code causing service inconsistency.,207,2024-10-06 12:01:59,,High
41368455,9,"User reported Discount Calculation Errors issue causing service inconsistency, impacting user satisfaction and business operations.",Error reported in Discount Calculation Errors: data corruption. Impact on critical operations observed.,"Service disruption in Discount Calculation Errors due to resource overload, leading to client dissatisfaction.","Service disruption in Discount Calculation Errors due to unauthorized access, leading to business disruption.",Critical issue in Discount Calculation Errors causing business disruption.,208,2024-10-09 15:42:36,2024-10-16 22:22:34,High
30708669,7,"Operational downtime in Checkout Timeout traced to unauthorized access, causing business disruption.","User reported Checkout Timeout issue causing business disruption, impacting user satisfaction and business operations.","System encountered unexpected outages in Checkout Timeout, resulting in business disruption.","System encountered high latency in Checkout Timeout, resulting in client dissatisfaction.",Minimal impact caused by resource overload in Checkout Timeout.,209,2024-10-20 07:10:11,2024-10-26 22:04:09,Low
74635814,10,"User reported Guest Checkout Not Working issue causing client dissatisfaction, impacting user satisfaction and business operations.","Operational downtime in Guest Checkout Not Working traced to unauthorized access, causing client dissatisfaction.","Operational downtime in Guest Checkout Not Working traced to unauthorized access, causing revenue loss.","Performance degradation observed in Guest Checkout Not Working with memory leaks detected, requiring immediate attention.",Moderate disruption observed in Guest Checkout Not Working due to service downtime.,210,2024-10-03 23:44:03,,Medium
99078163,8,"User reported Login Failures issue causing client dissatisfaction, impacting user satisfaction and business operations.","System encountered data corruption in Login Failures, resulting in business disruption.","User reported Login Failures issue causing revenue loss, impacting user satisfaction and business operations.",Error reported in Login Failures: failed API calls. Impact on service reliability observed.,Critical issue in Login Failures causing revenue loss.,301,2024-10-09 04:55:32,2024-10-24 19:29:32,High
60659085,2,"Performance degradation observed in Password Reset Issues with 99.9% failure rate, requiring immediate attention.","System encountered failed API calls in Password Reset Issues, resulting in client dissatisfaction.","Operational downtime in Password Reset Issues traced to resource overload, causing service inconsistency.",Error reported in Password Reset Issues: data corruption. Impact on critical operations observed.,Minimal impact caused by resource overload in Password Reset Issues.,302,2024-10-18 14:59:24,2024-10-01 23:38:51,Low
58207331,10,"System encountered data corruption in Two-Factor Authentication Failure, resulting in service inconsistency.","Operational downtime in Two-Factor Authentication Failure traced to network misconfiguration, causing client dissatisfaction.","Service disruption in Two-Factor Authentication Failure due to unauthorized access, leading to revenue loss.","Performance degradation observed in Two-Factor Authentication Failure with 99.9% failure rate, requiring immediate attention.",Minimal impact caused by resource overload in Two-Factor Authentication Failure.,303,2024-10-28 02:46:05,2024-10-08 14:45:53,Low
21106207,1,Error reported in OAuth Token Expiry: failed API calls. Impact on service reliability observed.,"Operational downtime in OAuth Token Expiry traced to resource overload, causing client dissatisfaction.","Performance degradation observed in OAuth Token Expiry with 99.9% failure rate, requiring immediate attention.","User reported OAuth Token Expiry issue causing revenue loss, impacting user satisfaction and business operations.",Moderate disruption observed in OAuth Token Expiry due to network misconfiguration.,304,2024-10-24 14:14:38,2024-10-05 16:46:38,Medium
20248751,8,"System encountered frequent errors in Session Timeout, resulting in service inconsistency.","Performance degradation observed in Session Timeout with memory leaks detected, requiring immediate attention.","Performance degradation observed in Session Timeout with high CPU usage, requiring immediate attention.","User reported Session Timeout issue causing revenue loss, impacting user satisfaction and business operations.",Minimal impact caused by resource overload in Session Timeout.,305,2024-10-23 18:18:52,2024-10-29 20:28:25,Low
28940989,1,"Service disruption in Account Creation Errors due to network misconfiguration, leading to service inconsistency.","Service disruption in Account Creation Errors due to service downtime, leading to revenue loss.","Operational downtime in Account Creation Errors traced to service downtime, causing business disruption.","System encountered data corruption in Account Creation Errors, resulting in revenue loss.",Moderate disruption observed in Account Creation Errors due to service downtime.,306,2024-10-09 14:10:56,2024-10-09 05:44:01,Medium
5528221,8,"Performance degradation observed in Social Login Failures with memory leaks detected, requiring immediate attention.","System encountered failed API calls in Social Login Failures, resulting in revenue loss.","User reported Social Login Failures issue causing business disruption, impacting user satisfaction and business operations.","Performance degradation observed in Social Login Failures with 99.9% failure rate, requiring immediate attention.",Critical issue in Social Login Failures causing revenue loss.,307,2024-10-19 15:22:35,,High
46797112,5,"Operational downtime in Email Confirmation Error traced to unauthorized access, causing service inconsistency.","Performance degradation observed in Email Confirmation Error with 99.9% failure rate, requiring immediate attention.","Performance degradation observed in Email Confirmation Error with 99.9% failure rate, requiring immediate attention.",Error reported in Email Confirmation Error: unexpected outages. Impact on service reliability observed.,Minimal impact caused by network misconfiguration in Email Confirmation Error.,308,2024-10-10 20:17:29,2024-10-05 13:52:03,Low
62685021,1,Error reported in Invalid Credentials: frequent errors. Impact on end-user experience observed.,"System encountered unexpected outages in Invalid Credentials, resulting in client dissatisfaction.","Service disruption in Invalid Credentials due to network misconfiguration, leading to business disruption.","Operational downtime in Invalid Credentials traced to network misconfiguration, causing business disruption.",Minimal impact caused by unauthorized access in Invalid Credentials.,309,2024-10-13 23:51:31,2024-10-19 10:17:33,Low
14457100,5,Error reported in Account Lockouts: failed API calls. Impact on end-user experience observed.,"User reported Account Lockouts issue causing revenue loss, impacting user satisfaction and business operations.","User reported Account Lockouts issue causing revenue loss, impacting user satisfaction and business operations.","System encountered frequent errors in Account Lockouts, resulting in service inconsistency.",Critical issue in Account Lockouts causing revenue loss.,302,2024-10-03 06:20:25,,High
57819478,3,"Operational downtime in Missing Products traced to unauthorized access, causing service inconsistency.","System encountered frequent errors in Missing Products, resulting in revenue loss.","System encountered high latency in Missing Products, resulting in client dissatisfaction.","Service disruption in Missing Products due to unauthorized access, leading to revenue loss.",Minimal impact caused by resource overload in Missing Products.,401,2024-10-24 22:26:24,,Low
29380271,7,"System encountered frequent errors in Search Issues, resulting in client dissatisfaction.","Service disruption in Search Issues due to network misconfiguration, leading to revenue loss.","System encountered unexpected outages in Search Issues, resulting in client dissatisfaction.",Error reported in Search Issues: failed API calls. Impact on service reliability observed.,Critical issue in Search Issues causing business disruption.,402,2024-10-04 20:22:40,2024-10-08 19:50:50,High
61193368,8,"Performance degradation observed in Incorrect Prices with memory leaks detected, requiring immediate attention.","Service disruption in Incorrect Prices due to network misconfiguration, leading to revenue loss.","User reported Incorrect Prices issue causing client dissatisfaction, impacting user satisfaction and business operations.","Operational downtime in Incorrect Prices traced to network misconfiguration, causing revenue loss.",Minimal impact caused by service downtime in Incorrect Prices.,403,2024-10-29 03:40:12,,Low
77220014,8,"Service disruption in Product Unavailable due to unauthorized access, leading to revenue loss.","System encountered frequent errors in Product Unavailable, resulting in business disruption.","Service disruption in Product Unavailable due to network misconfiguration, leading to client dissatisfaction.","System encountered data corruption in Product Unavailable, resulting in business disruption.",Moderate disruption observed in Product Unavailable due to service downtime.,404,2024-10-24 03:26:28,2024-10-19 15:04:20,Medium
70969447,3,"System encountered high latency in Outdated Stock Information, resulting in revenue loss.","Operational downtime in Outdated Stock Information traced to resource overload, causing service inconsistency.","User reported Outdated Stock Information issue causing business disruption, impacting user satisfaction and business operations.","User reported Outdated Stock Information issue causing client dissatisfaction, impacting user satisfaction and business operations.",Minimal impact caused by service downtime in Outdated Stock Information.,405,2024-10-22 16:56:06,2024-10-21 01:10:50,Low
73163918,4,"Operational downtime in Product Description Errors traced to network misconfiguration, causing revenue loss.","Performance degradation observed in Product Description Errors with 99.9% failure rate, requiring immediate attention.","System encountered frequent errors in Product Description Errors, resulting in service inconsistency.","Operational downtime in Product Description Errors traced to unauthorized access, causing revenue loss.",Critical issue in Product Description Errors causing revenue loss.,406,2024-10-02 14:46:33,2024-10-17 06:19:57,High
67966807,5,"System encountered failed API calls in Product Image Missing, resulting in business disruption.","System encountered data corruption in Product Image Missing, resulting in client dissatisfaction.","Service disruption in Product Image Missing due to unauthorized access, leading to business disruption.","Service disruption in Product Image Missing due to unauthorized access, leading to client dissatisfaction.",Moderate disruption observed in Product Image Missing due to service downtime.,407,2024-10-18 20:30:20,2024-10-27 08:24:21,Medium
26698445,9,"Service disruption in Category Not Displaying due to unauthorized access, leading to revenue loss.",Error reported in Category Not Displaying: unexpected outages. Impact on end-user experience observed.,"Service disruption in Category Not Displaying due to service downtime, leading to service inconsistency.","Performance degradation observed in Category Not Displaying with high CPU usage, requiring immediate attention.",Minimal impact caused by service downtime in Category Not Displaying.,408,2024-10-22 03:38:33,2024-10-15 03:57:14,Low
68522918,4,"Operational downtime in Related Products Missing traced to service downtime, causing service inconsistency.","Service disruption in Related Products Missing due to network misconfiguration, leading to business disruption.","Performance degradation observed in Related Products Missing with 99.9% failure rate, requiring immediate attention.","Performance degradation observed in Related Products Missing with 99.9% failure rate, requiring immediate attention.",Moderate disruption observed in Related Products Missing due to unauthorized access.,409,2024-10-27 06:51:47,2024-10-13 13:57:37,Medium
70960186,4,"Performance degradation observed in Product Filtering Issues with high CPU usage, requiring immediate attention.","System encountered frequent errors in Product Filtering Issues, resulting in business disruption.","System encountered frequent errors in Product Filtering Issues, resulting in business disruption.","Service disruption in Product Filtering Issues due to service downtime, leading to service inconsistency.",Minimal impact caused by resource overload in Product Filtering Issues.,410,2024-10-19 10:28:13,2024-10-20 07:01:36,Low
16561193,5,"Operational downtime in Shipping Delays traced to unauthorized access, causing revenue loss.","Operational downtime in Shipping Delays traced to resource overload, causing client dissatisfaction.",Error reported in Shipping Delays: failed API calls. Impact on critical operations observed.,"User reported Shipping Delays issue causing client dissatisfaction, impacting user satisfaction and business operations.",Moderate disruption observed in Shipping Delays due to unauthorized access.,501,2024-10-08 03:22:51,2024-10-25 11:34:26,Medium
70429699,10,"Service disruption in Tracking Number Errors due to unauthorized access, leading to business disruption.","Operational downtime in Tracking Number Errors traced to network misconfiguration, causing service inconsistency.","User reported Tracking Number Errors issue causing revenue loss, impacting user satisfaction and business operations.","User reported Tracking Number Errors issue causing revenue loss, impacting user satisfaction and business operations.",Moderate disruption observed in Tracking Number Errors due to service downtime.,502,2024-10-25 20:59:32,2024-10-15 05:44:40,Medium
97514831,7,"Performance degradation observed in Order Not Processed with high CPU usage, requiring immediate attention.","Performance degradation observed in Order Not Processed with 99.9% failure rate, requiring immediate attention.","Operational downtime in Order Not Processed traced to service downtime, causing client dissatisfaction.",Error reported in Order Not Processed: data corruption. Impact on critical operations observed.,Minimal impact caused by resource overload in Order Not Processed.,503,2024-10-01 05:10:51,2024-10-05 16:55:00,Low
47199369,2,"User reported Warehouse Stock Errors issue causing business disruption, impacting user satisfaction and business operations.","Performance degradation observed in Warehouse Stock Errors with high CPU usage, requiring immediate attention.","User reported Warehouse Stock Errors issue causing service inconsistency, impacting user satisfaction and business operations.","Performance degradation observed in Warehouse Stock Errors with memory leaks detected, requiring immediate attention.",Moderate disruption observed in Warehouse Stock Errors due to unauthorized access.,504,2024-10-03 17:36:05,,Medium
74755151,7,"Performance degradation observed in Incorrect Order Shipment with memory leaks detected, requiring immediate attention.","System encountered high latency in Incorrect Order Shipment, resulting in client dissatisfaction.","Service disruption in Incorrect Order Shipment due to unauthorized access, leading to revenue loss.","Service disruption in Incorrect Order Shipment due to resource overload, leading to service inconsistency.",Critical issue in Incorrect Order Shipment causing revenue loss.,505,2024-10-19 22:54:19,2024-10-04 00:08:39,High
89215239,3,"System encountered frequent errors in Order Cancellation Failed, resulting in client dissatisfaction.",Error reported in Order Cancellation Failed: high latency. Impact on critical operations observed.,"Performance degradation observed in Order Cancellation Failed with high CPU usage, requiring immediate attention.","User reported Order Cancellation Failed issue causing client dissatisfaction, impacting user satisfaction and business operations.",Moderate disruption observed in Order Cancellation Failed due to resource overload.,506,2024-10-05 19:14:34,2024-10-01 04:19:13,Medium
18306896,2,"System encountered failed API calls in Order Not Received, resulting in service inconsistency.","Performance degradation observed in Order Not Received with memory leaks detected, requiring immediate attention.",Error reported in Order Not Received: failed API calls. Impact on end-user experience observed.,Error reported in Order Not Received: failed API calls. Impact on service reliability observed.,Moderate disruption observed in Order Not Received due to network misconfiguration.,507,2024-10-07 12:56:29,,Medium
26885972,9,"Performance degradation observed in Return Not Processed with 99.9% failure rate, requiring immediate attention.",Error reported in Return Not Processed: data corruption. Impact on critical operations observed.,"Operational downtime in Return Not Processed traced to resource overload, causing revenue loss.","Service disruption in Return Not Processed due to resource overload, leading to business disruption.",Critical issue in Return Not Processed causing service inconsistency.,508,2024-10-27 13:42:27,2024-10-17 19:24:41,High
69428745,7,"User reported Exchange Delays issue causing service inconsistency, impacting user satisfaction and business operations.","Performance degradation observed in Exchange Delays with 99.9% failure rate, requiring immediate attention.","Service disruption in Exchange Delays due to service downtime, leading to client dissatisfaction.","User reported Exchange Delays issue causing revenue loss, impacting user satisfaction and business operations.",Moderate disruption observed in Exchange Delays due to service downtime.,509,2024-10-23 08:05:19,,Medium
52963993,5,"User reported Wrong Order Status issue causing revenue loss, impacting user satisfaction and business operations.","User reported Wrong Order Status issue causing service inconsistency, impacting user satisfaction and business operations.","System encountered failed API calls in Wrong Order Status, resulting in service inconsistency.","User reported Wrong Order Status issue causing business disruption, impacting user satisfaction and business operations.",Critical issue in Wrong Order Status causing client dissatisfaction.,510,2024-10-06 12:48:42,2024-10-19 17:46:31,High
34368609,6,"Operational downtime in Promo Code Not Working traced to network misconfiguration, causing service inconsistency.","User reported Promo Code Not Working issue causing service inconsistency, impacting user satisfaction and business operations.","Performance degradation observed in Promo Code Not Working with 99.9% failure rate, requiring immediate attention.","Service disruption in Promo Code Not Working due to network misconfiguration, leading to client dissatisfaction.",Critical issue in Promo Code Not Working causing business disruption.,601,2024-10-06 07:16:46,2024-10-18 09:06:25,High
84658019,2,"System encountered frequent errors in Discount Misapplied, resulting in revenue loss.","Performance degradation observed in Discount Misapplied with high CPU usage, requiring immediate attention.",Error reported in Discount Misapplied: failed API calls. Impact on critical operations observed.,"System encountered high latency in Discount Misapplied, resulting in client dissatisfaction.",Moderate disruption observed in Discount Misapplied due to resource overload.,602,2024-10-25 19:20:23,2024-10-21 20:16:32,Medium
69930740,6,"Performance degradation observed in Sale Price Incorrect with high CPU usage, requiring immediate attention.","System encountered high latency in Sale Price Incorrect, resulting in business disruption.","Operational downtime in Sale Price Incorrect traced to network misconfiguration, causing service inconsistency.","Service disruption in Sale Price Incorrect due to service downtime, leading to service inconsistency.",Minimal impact caused by network misconfiguration in Sale Price Incorrect.,603,2024-10-20 15:38:58,,Low
64156230,7,"User reported Discount Expired Early issue causing service inconsistency, impacting user satisfaction and business operations.","Service disruption in Discount Expired Early due to unauthorized access, leading to business disruption.",Error reported in Discount Expired Early: failed API calls. Impact on service reliability observed.,"Performance degradation observed in Discount Expired Early with 99.9% failure rate, requiring immediate attention.",Moderate disruption observed in Discount Expired Early due to resource overload.,604,2024-10-18 15:05:14,,Medium
43006240,2,"Operational downtime in Promotion Not Visible traced to network misconfiguration, causing revenue loss.","System encountered unexpected outages in Promotion Not Visible, resulting in service inconsistency.","System encountered unexpected outages in Promotion Not Visible, resulting in business disruption.","Performance degradation observed in Promotion Not Visible with high CPU usage, requiring immediate attention.",Moderate disruption observed in Promotion Not Visible due to network misconfiguration.,605,2024-10-14 01:06:03,2024-10-15 01:15:30,Medium
36161221,10,"Performance degradation observed in Free Shipping Not Applied with high CPU usage, requiring immediate attention.","Performance degradation observed in Free Shipping Not Applied with memory leaks detected, requiring immediate attention.","Performance degradation observed in Free Shipping Not Applied with 99.9% failure rate, requiring immediate attention.","Operational downtime in Free Shipping Not Applied traced to service downtime, causing business disruption.",Minimal impact caused by network misconfiguration in Free Shipping Not Applied.,606,2024-10-13 19:32:27,,Low
10283500,8,"Operational downtime in Bundle Discount Error traced to network misconfiguration, causing revenue loss.","User reported Bundle Discount Error issue causing business disruption, impacting user satisfaction and business operations.","Service disruption in Bundle Discount Error due to resource overload, leading to revenue loss.","Operational downtime in Bundle Discount Error traced to unauthorized access, causing service inconsistency.",Moderate disruption observed in Bundle Discount Error due to network misconfiguration.,607,2024-10-05 14:25:14,2024-10-17 08:22:30,Medium
34252980,2,"System encountered high latency in Flash Sale Issue, resulting in client dissatisfaction.","Operational downtime in Flash Sale Issue traced to service downtime, causing client dissatisfaction.","System encountered high latency in Flash Sale Issue, resulting in revenue loss.","Performance degradation observed in Flash Sale Issue with 99.9% failure rate, requiring immediate attention.",Critical issue in Flash Sale Issue causing business disruption.,608,2024-10-25 06:31:59,,High
55999365,2,Error reported in Promotion Overlapping: failed API calls. Impact on service reliability observed.,"Operational downtime in Promotion Overlapping traced to unauthorized access, causing revenue loss.",Error reported in Promotion Overlapping: high latency. Impact on service reliability observed.,"System encountered high latency in Promotion Overlapping, resulting in service inconsistency.",Moderate disruption observed in Promotion Overlapping due to resource overload.,609,2024-10-10 11:23:53,2024-10-27 08:40:43,Medium
1940970,3,Error reported in Loyalty Points Not Applied: unexpected outages. Impact on critical operations observed.,"Service disruption in Loyalty Points Not Applied due to network misconfiguration, leading to revenue loss.","Operational downtime in Loyalty Points Not Applied traced to network misconfiguration, causing client dissatisfaction.","User reported Loyalty Points Not Applied issue causing service inconsistency, impacting user satisfaction and business operations.",Moderate disruption observed in Loyalty Points Not Applied due to unauthorized access.,610,2024-10-27 09:48:03,2024-10-10 01:44:27,Medium
41966805,4,"Operational downtime in Live Chat Unavailable traced to unauthorized access, causing service inconsistency.","Performance degradation observed in Live Chat Unavailable with high CPU usage, requiring immediate attention.","Performance degradation observed in Live Chat Unavailable with 99.9% failure rate, requiring immediate attention.","System encountered unexpected outages in Live Chat Unavailable, resulting in client dissatisfaction.",Critical issue in Live Chat Unavailable causing business disruption.,701,2024-10-27 09:51:55,2024-10-09 10:50:44,High
27038857,8,"Performance degradation observed in Support Ticket Delays with 99.9% failure rate, requiring immediate attention.",Error reported in Support Ticket Delays: data corruption. Impact on critical operations observed.,"Operational downtime in Support Ticket Delays traced to network misconfiguration, causing service inconsistency.","Performance degradation observed in Support Ticket Delays with 99.9% failure rate, requiring immediate attention.",Minimal impact caused by resource overload in Support Ticket Delays.,702,2024-10-28 04:49:36,2024-10-10 16:44:03,Low
40438630,9,"Service disruption in Incorrect Support Information due to network misconfiguration, leading to revenue loss.","Service disruption in Incorrect Support Information due to unauthorized access, leading to client dissatisfaction.","User reported Incorrect Support Information issue causing client dissatisfaction, impacting user satisfaction and business operations.","User reported Incorrect Support Information issue causing revenue loss, impacting user satisfaction and business operations.",Moderate disruption observed in Incorrect Support Information due to service downtime.,703,2024-10-20 08:43:36,2024-10-21 07:09:01,Medium
44194505,3,"System encountered high latency in Automated Response Error, resulting in revenue loss.","System encountered frequent errors in Automated Response Error, resulting in revenue loss.","User reported Automated Response Error issue causing client dissatisfaction, impacting user satisfaction and business operations.","Operational downtime in Automated Response Error traced to network misconfiguration, causing client dissatisfaction.",Moderate disruption observed in Automated Response Error due to service downtime.,704,2024-10-08 02:24:48,2024-10-09 07:19:04,Medium
84904762,7,"Performance degradation observed in Chatbot Not Responding with memory leaks detected, requiring immediate attention.","System encountered failed API calls in Chatbot Not Responding, resulting in business disruption.","Performance degradation observed in Chatbot Not Responding with memory leaks detected, requiring immediate attention.",Error reported in Chatbot Not Responding: data corruption. Impact on service reliability observed.,Critical issue in Chatbot Not Responding causing service inconsistency.,705,2024-10-14 06:41:08,2024-10-09 21:33:43,High
39457716,7,"User reported Support Ticket Not Created issue causing business disruption, impacting user satisfaction and business operations.","User reported Support Ticket Not Created issue causing service inconsistency, impacting user satisfaction and business operations.","Service disruption in Support Ticket Not Created due to unauthorized access, leading to service inconsistency.","Service disruption in Support Ticket Not Created due to network misconfiguration, leading to business disruption.",Critical issue in Support Ticket Not Created causing business disruption.,706,2024-10-07 06:57:02,,High
100205467,8,"System encountered unexpected outages in Escalation Failure, resulting in service inconsistency.","User reported Escalation Failure issue causing revenue loss, impacting user satisfaction and business operations.","Operational downtime in Escalation Failure traced to resource overload, causing business disruption.","System encountered data corruption in Escalation Failure, resulting in business disruption.",Critical issue in Escalation Failure causing revenue loss.,707,2024-10-13 16:35:41,2024-10-16 15:08:40,High
98528755,3,"User reported Callback Request Failed issue causing service inconsistency, impacting user satisfaction and business operations.","Service disruption in Callback Request Failed due to unauthorized access, leading to revenue loss.","Service disruption in Callback Request Failed due to resource overload, leading to business disruption.","Performance degradation observed in Callback Request Failed with memory leaks detected, requiring immediate attention.",Minimal impact caused by unauthorized access in Callback Request Failed.,708,2024-10-20 20:24:26,2024-10-11 02:21:20,Low
2110620,4,Error reported in Support Chat Disconnected: data corruption. Impact on service reliability observed.,"Operational downtime in Support Chat Disconnected traced to resource overload, causing revenue loss.","Operational downtime in Support Chat Disconnected traced to unauthorized access, causing service inconsistency.","Operational downtime in Support Chat Disconnected traced to service downtime, causing service inconsistency.",Critical issue in Support Chat Disconnected causing client dissatisfaction.,709,2024-10-15 17:49:55,2024-10-29 20:21:14,High
82002417,9,"Performance degradation observed in No Support Agent Available with high CPU usage, requiring immediate attention.","Performance degradation observed in No Support Agent Available with 99.9% failure rate, requiring immediate attention.","Operational downtime in No Support Agent Available traced to network misconfiguration, causing revenue loss.","Service disruption in No Support Agent Available due to resource overload, leading to business disruption.",Minimal impact caused by unauthorized access in No Support Agent Available.,710,2024-10-28 16:36:13,2024-10-08 14:32:24,Low
